Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-25 00:00:00-05:00,22.88960743259229,22.891862603783906,22.368774699782414,22.42063331604004,207178000,0.0,0.0
2016-01-26 00:00:00-05:00,22.53111009480437,22.745304888812232,22.111737750160597,22.54463768005371,300308000,0.0,0.0
2016-01-27 00:00:00-05:00,21.654037979031745,21.787063832700888,21.045270787128768,21.063308715820312,533478800,0.0,0.0
2016-01-28 00:00:00-05:00,21.146734883413128,21.311326268055467,20.83107798166302,21.214374542236328,222715200,0.0,0.0
2016-01-29 00:00:00-05:00,21.372195133698348,21.947139739990234,21.272988277002373,21.947139739990234,257666000,0.0,0.0
2016-02-01 00:00:00-05:00,21.75098902632416,21.80510109054244,21.509737328119584,21.74197006225586,163774000,0.0,0.0
2016-02-02 00:00:00-05:00,21.51424869826253,21.654040078890674,21.257214210153034,21.302309036254883,149428800,0.0,0.0
2016-02-03 00:00:00-05:00,21.41954953789307,21.834411566408754,21.212118523635226,21.72393226623535,183857200,0.0,0.0
2016-02-04 00:00:00-05:00,21.730737079835702,22.06397523788645,21.578853562616636,21.898488998413086,185886800,0.13,0.0
2016-02-05 00:00:00-05:00,21.880350638286867,21.97102794813434,21.238812432834692,21.31361961364746,185672400,0.0,0.0
2016-02-08 00:00:00-05:00,21.111863054884942,21.694462466550164,21.091461568607453,21.53804588317871,216085600,0.0,0.0
2016-02-09 00:00:00-05:00,21.374824329473952,21.748867095584664,21.29321493579432,21.53350830078125,177324800,0.0,0.0
2016-02-10 00:00:00-05:00,21.74432966262335,21.841807441702354,21.331749657352415,21.37028694152832,169374400,0.0,0.0
2016-02-11 00:00:00-05:00,21.26147682031325,21.472300785963785,20.989444948443747,21.241073608398438,200298800,0.0,0.0
2016-02-12 00:00:00-05:00,21.352157525748236,21.422431615695398,21.084660426868574,21.30681800842285,161405600,0.0,0.0
2016-02-16 00:00:00-05:00,21.54031229523641,21.955159825592,21.447369305376494,21.907554626464844,196231600,0.0,0.0
2016-02-17 00:00:00-05:00,21.914350378625155,22.263456826183887,21.796471110520166,22.24305534362793,179452800,0.0,0.0
2016-02-18 00:00:00-05:00,22.406276216391266,22.417611528318208,21.782872109976353,21.8214111328125,156084000,0.0,0.0
2016-02-19 00:00:00-05:00,21.762466064327935,21.93475273827098,21.717128285170748,21.771533966064453,141496800,0.0,0.0
2016-02-22 00:00:00-05:00,21.832743339511882,21.9664927478139,21.744333446534984,21.961957931518555,137123200,0.0,0.0
2016-02-23 00:00:00-05:00,21.853147485168304,21.875816379034177,21.433766895309585,21.465503692626953,127770400,0.0,0.0
2016-02-24 00:00:00-05:00,21.304548576852696,21.848608852713806,21.154930790323082,21.78513526916504,145022800,0.0,0.0
2016-02-25 00:00:00-05:00,21.7738058352963,21.934757232666016,21.59245122245748,21.934757232666016,110330800,0.0,0.0
2016-02-26 00:00:00-05:00,22.034496892385544,22.22038456002593,21.893948734855904,21.96875762939453,115964400,0.0,0.0
2016-02-29 00:00:00-05:00,21.957433026677684,22.268002336659958,21.90982781499158,21.918895721435547,140865200,0.0,0.0
2016-03-01 00:00:00-05:00,22.136515111056735,22.843794353031356,22.084375093578036,22.78938865661621,201628400,0.0,0.0
2016-03-02 00:00:00-05:00,22.78485440767674,22.870996900069787,22.58763139012787,22.83926010131836,132678400,0.0,0.0
2016-03-03 00:00:00-05:00,22.800718872162474,23.05688062631293,22.771247757318044,23.009275436401367,147822800,0.0,0.0
2016-03-04 00:00:00-05:00,23.20650049020174,23.51933536446856,22.97980810114662,23.35158348083496,184220400,0.0,0.0
2016-03-07 00:00:00-05:00,23.211032274580887,23.310777473616483,22.886862107240784,23.09315299987793,143315600,0.0,0.0
2016-03-08 00:00:00-05:00,22.846057846606428,23.06821714064854,22.759915364583282,22.90273094177246,126247600,0.0,0.0
2016-03-09 00:00:00-05:00,22.966208047637537,23.027415968321794,22.730447728110132,22.923137664794922,108806800,0.0,0.0
2016-03-10 00:00:00-05:00,22.98887855503972,23.17703194439298,22.703245628869972,22.934471130371094,134054400,0.0,0.0
