Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-25 00:00:00-05:00,6.006235384949771,6.006235384949771,5.889879376718156,5.904641151428223,25886000,0.0,0.0
2016-01-26 00:00:00-05:00,5.9098506007476415,5.984526905682811,5.856882201416093,5.968896865844727,17938000,0.0,0.0
2016-01-27 00:00:00-05:00,5.974108081866655,6.007972967974504,5.838648537435263,5.861225128173828,23587000,0.0,0.0
2016-01-28 00:00:00-05:00,5.948925774496246,6.165139901676811,5.9167978385792175,6.030549049377441,42352000,0.0,0.0
2016-01-29 00:00:00-05:00,6.080911837359106,6.291047684374241,6.080911837359106,6.233737945556641,39171000,0.0,0.0
2016-02-01 00:00:00-05:00,6.182506057421241,6.365723555570674,6.170349497190219,6.305809020996094,27221000,0.0,0.0
2016-02-02 00:00:00-05:00,6.217238912025835,6.272812111079399,6.088726355022699,6.126064300537109,34602000,0.0,0.0
2016-02-03 00:00:00-05:00,6.19379379130358,6.234605215262734,6.020128069338724,6.200740337371826,33201000,0.0,0.0
2016-02-04 00:00:00-05:00,6.196399390830131,6.2580504568342175,6.12693309771719,6.205950736999512,22061000,0.0,0.0
2016-02-05 00:00:00-05:00,6.152982619662069,6.180769219126249,5.908113651813969,5.988868236541748,29782000,0.0,0.0
2016-02-08 00:00:00-05:00,5.903771670720516,5.9359000156494455,5.6441413539347005,5.737920761108398,25055000,0.0,0.0
2016-02-09 00:00:00-05:00,5.651088571954666,5.765708045041009,5.573807461307925,5.694505214691162,29534000,0.0,0.0
2016-02-10 00:00:00-05:00,5.7309727851693495,5.790019447224277,5.6528234367065595,5.685819625854492,33111000,0.0,0.0
2016-02-11 00:00:00-05:00,5.593778242583646,5.674532825149592,5.479158781644657,5.575543403625488,39753000,0.0,0.0
2016-02-12 00:00:00-05:00,5.636326850869694,5.784811196416475,5.579017117993806,5.735316276550293,20491000,0.0,0.0
2016-02-16 00:00:00-05:00,5.8013096574532,5.945452260030477,5.788284416687973,5.868170738220215,28055000,0.0,0.0
2016-02-17 00:00:00-05:00,5.915060585131217,6.019260443451604,5.886405717254762,6.013182163238525,32347000,0.0,0.0
2016-02-18 00:00:00-05:00,6.040100696299269,6.040100696299269,5.881196299949346,5.884669780731201,26092000,0.0,0.0
2016-02-19 00:00:00-05:00,6.036626508185723,6.202477421238519,6.024469948785215,6.058334827423096,41125000,0.0,0.0
2016-02-22 00:00:00-05:00,6.094805695979025,6.2050834326945115,6.034022473053381,6.10783052444458,36590000,0.0,0.0
2016-02-23 00:00:00-05:00,6.053993419807562,6.108697940173472,5.9871319253085655,6.011445045471191,19528000,0.0,0.0
2016-02-24 00:00:00-05:00,5.970633446227788,6.124327804057323,5.92113852670757,6.119986057281494,19880000,0.0,0.0
2016-02-25 00:00:00-05:00,6.123459537755246,6.291915254956809,6.090462924740459,6.289310455322266,29375000,0.0,0.0
2016-02-26 00:00:00-05:00,6.326648575208245,6.4395315101809025,6.2945206419057165,6.409140110015869,29899000,0.0,0.0
2016-02-29 00:00:00-05:00,6.372670994210814,6.479475244557767,6.346620924582406,6.364855766296387,25501000,0.0,0.0
2016-03-01 00:00:00-05:00,6.382220592651533,6.594092916053446,6.345750919216174,6.561964988708496,29376000,0.0,0.0
2016-03-02 00:00:00-05:00,6.541995773544958,6.590622437934879,6.410877971309311,6.473397731781006,24210000,0.0,0.0
2016-03-03 00:00:00-05:00,6.4733959575526905,6.512470848894337,6.416954493842731,6.501182556152344,14015000,0.0,0.0
2016-03-04 00:00:00-05:00,6.531574357934452,6.534179571679161,6.410008343843482,6.454293251037598,16242000,0.0,0.0
2016-03-07 00:00:00-05:00,6.431625729299054,6.545837909992556,6.4159327635664605,6.542350769042969,22362000,0.03,0.0
2016-03-08 00:00:00-05:00,6.516194119733295,6.54670867694453,6.388032563716444,6.394135475158691,32819000,0.0,0.0
2016-03-09 00:00:00-05:00,6.412444875267096,6.486552021099805,6.369724490735859,6.435112953186035,16431000,0.0,0.0
2016-03-10 00:00:00-05:00,6.463012116037499,6.622560445626768,6.43685648178938,6.558915138244629,29652000,0.0,0.0
2016-03-11 00:00:00-05:00,6.599020599919333,6.669640609157986,6.558043783350092,6.640869617462158,21392000,0.0,0.0
2016-03-14 00:00:00-04:00,6.596404984857677,6.713232517535753,6.587686717032157,6.7062578201293945,15623000,0.0,0.0
2016-03-15 00:00:00-04:00,6.718462276014896,6.755080157466447,6.672254343481676,6.7271809577941895,23473000,0.0,0.0
2016-03-16 00:00:00-04:00,6.721950781330742,6.788211026148019,6.669639930455095,6.7838521003723145,23516000,0.0,0.0
2016-03-17 00:00:00-04:00,6.850111991617435,6.93119382707609,6.755080762937156,6.910269737243652,26618000,0.0,0.0
2016-03-18 00:00:00-04:00,6.937297217320856,6.97565909065185,6.872780541691615,6.924219608306885,26734000,0.0,0.0
2016-03-21 00:00:00-04:00,6.904167584506783,6.95735022363726,6.883243076645088,6.95386266708374,15537000,0.0,0.0
2016-03-22 00:00:00-04:00,6.979146323043879,7.012276654329007,6.897192280012819,6.990479946136475,14955000,0.0,0.0
2016-03-23 00:00:00-04:00,6.961708545678883,6.9756583541199495,6.9155006106940515,6.91898775100708,20111000,0.0,0.0
2016-03-24 00:00:00-04:00,6.864932793062471,6.878882184673517,6.75595176801371,6.877138614654541,21566000,0.0,0.0
