Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-06 09:30:00-05:00,18.559999465942383,21.420000076293945,18.530000686645508,20.780000686645508,53202156,0.0,0.0
2025-01-06 10:30:00-05:00,20.780000686645508,21.0,18.549999237060547,19.564800262451172,30115101,0.0,0.0
2025-01-06 11:30:00-05:00,19.569900512695312,19.73200035095215,18.600000381469727,18.869699478149414,11813674,0.0,0.0
2025-01-06 12:30:00-05:00,18.850000381469727,19.56999969482422,18.82349967956543,19.424999237060547,8687156,0.0,0.0
2025-01-06 13:30:00-05:00,19.440000534057617,20.209999084472656,18.860000610351562,20.010000228881836,11795695,0.0,0.0
2025-01-06 14:30:00-05:00,20.0,20.18000030517578,19.550500869750977,20.02389907836914,9285102,0.0,0.0
2025-01-06 15:30:00-05:00,20.020000457763672,20.149999618530273,19.5,19.510000228881836,5776705,0.0,0.0
2025-01-07 09:30:00-05:00,19.809999465942383,20.100000381469727,17.549999237060547,18.128799438476562,39147235,0.0,0.0
2025-01-07 10:30:00-05:00,18.1200008392334,18.6299991607666,17.75,18.55500030517578,15545314,0.0,0.0
2025-01-07 11:30:00-05:00,18.559999465942383,19.510000228881836,17.800100326538086,17.920000076293945,6715221,0.0,0.0
2025-01-07 12:30:00-05:00,17.920000076293945,18.600000381469727,17.700000762939453,18.409900665283203,7181430,0.0,0.0
2025-01-07 13:30:00-05:00,18.403099060058594,19.049999237060547,18.17099952697754,18.90999984741211,6466366,0.0,0.0
2025-01-07 14:30:00-05:00,18.899999618530273,18.989999771118164,18.260000228881836,18.331499099731445,4973719,0.0,0.0
2025-01-07 15:30:00-05:00,18.334999084472656,18.670000076293945,18.200000762939453,18.3799991607666,3689248,0.0,0.0
2025-01-08 09:30:00-05:00,12.649999618530273,12.920000076293945,9.210000038146973,10.364999771118164,146961240,0.0,0.0
2025-01-08 10:30:00-05:00,10.364999771118164,10.729999542236328,9.020000457763672,9.270000457763672,42765064,0.0,0.0
2025-01-08 11:30:00-05:00,9.265000343322754,9.869999885559082,9.229999542236328,9.25160026550293,23941348,0.0,0.0
2025-01-08 12:30:00-05:00,9.250100135803223,10.40999984741211,9.25,10.260000228881836,21831891,0.0,0.0
2025-01-08 13:30:00-05:00,10.244999885559082,10.970000267028809,9.880000114440918,10.930000305175781,23973793,0.0,0.0
2025-01-08 14:30:00-05:00,10.9350004196167,10.939900398254395,9.729999542236328,10.11970043182373,24499081,0.0,0.0
2025-01-08 15:30:00-05:00,10.114999771118164,10.229999542236328,9.899999618530273,10.010000228881836,11602659,0.0,0.0
2025-01-10 09:30:00-05:00,9.890000343322754,10.430000305175781,8.430000305175781,10.411299705505371,84238606,0.0,0.0
2025-01-10 10:30:00-05:00,10.420000076293945,10.739999771118164,9.680000305175781,9.760000228881836,26112853,0.0,0.0
2025-01-10 11:30:00-05:00,9.75,10.25,9.720000267028809,10.229999542236328,11690770,0.0,0.0
2025-01-10 12:30:00-05:00,10.220000267028809,10.319999694824219,9.800000190734863,9.850099563598633,12916800,0.0,0.0
2025-01-10 13:30:00-05:00,9.850899696350098,9.878800392150879,9.430000305175781,9.598400115966797,9414015,0.0,0.0
2025-01-10 14:30:00-05:00,9.595000267028809,9.630000114440918,9.239999771118164,9.260000228881836,9030106,0.0,0.0
2025-01-10 15:30:00-05:00,9.25,9.300000190734863,8.760000228881836,8.929900169372559,14022065,0.0,0.0
2025-01-13 09:30:00-05:00,7.329999923706055,8.369999885559082,6.659999847412109,6.709000110626221,75173696,0.0,0.0
2025-01-13 10:30:00-05:00,6.704999923706055,7.179999828338623,6.420000076293945,6.420000076293945,26918913,0.0,0.0
2025-01-13 11:30:00-05:00,6.420000076293945,6.78000020980835,6.230000019073486,6.723299980163574,23456796,0.0,0.0
2025-01-13 12:30:00-05:00,6.7241997718811035,6.929999828338623,6.510000228881836,6.635000228881836,11630879,0.0,0.0
2025-01-13 13:30:00-05:00,6.635000228881836,6.650000095367432,6.179999828338623,6.271399974822998,13149515,0.0,0.0
2025-01-13 14:30:00-05:00,6.275000095367432,6.427199840545654,6.045000076293945,6.045000076293945,14798107,0.0,0.0
2025-01-13 15:30:00-05:00,6.065000057220459,6.179999828338623,5.949999809265137,6.03439998626709,15296786,0.0,0.0
2025-01-14 09:30:00-05:00,6.570000171661377,8.130000114440918,6.559999942779541,7.760000228881836,108211555,0.0,0.0
2025-01-14 10:30:00-05:00,7.758399963378906,7.820000171661377,6.679999828338623,6.798799991607666,46707186,0.0,0.0
2025-01-14 11:30:00-05:00,6.789899826049805,7.489999771118164,6.760000228881836,7.235000133514404,39316646,0.0,0.0
2025-01-14 12:30:00-05:00,7.230000019073486,7.980000019073486,6.960000038146973,7.960599899291992,37353445,0.0,0.0
2025-01-14 13:30:00-05:00,7.965000152587891,8.729999542236328,7.860000133514404,8.550000190734863,48398546,0.0,0.0
2025-01-14 14:30:00-05:00,8.550000190734863,8.819999694824219,8.211199760437012,8.819899559020996,39035781,0.0,0.0
2025-01-14 15:30:00-05:00,8.8149995803833,8.970000267028809,8.550000190734863,8.9399995803833,19994201,0.0,0.0
2025-01-15 09:30:00-05:00,10.354999542236328,11.5600004196167,10.029999732971191,11.421199798583984,186001291,0.0,0.0
2025-01-15 10:30:00-05:00,11.430000305175781,11.430000305175781,9.819999694824219,10.0,72073235,0.0,0.0
2025-01-15 11:30:00-05:00,10.0,10.550000190734863,9.729999542236328,10.538100242614746,39091710,0.0,0.0
2025-01-15 12:30:00-05:00,10.531399726867676,10.630000114440918,10.15999984741211,10.5600004196167,20480995,0.0,0.0
2025-01-15 13:30:00-05:00,10.558799743652344,11.069999694824219,10.329999923706055,11.010499954223633,25040928,0.0,0.0
2025-01-15 14:30:00-05:00,11.01990032196045,11.300000190734863,11.000100135803223,11.14109992980957,22177550,0.0,0.0
2025-01-15 15:30:00-05:00,11.140000343322754,11.199999809265137,10.829999923706055,10.90999984741211,16143889,0.0,0.0
2025-01-16 09:30:00-05:00,10.390000343322754,11.550000190734863,10.010000228881836,10.850000381469727,112643438,0.0,0.0
2025-01-16 10:30:00-05:00,10.850899696350098,10.979399681091309,10.119999885559082,10.46500015258789,35703804,0.0,0.0
2025-01-16 11:30:00-05:00,10.470000267028809,11.3100004196167,10.359999656677246,11.191200256347656,22877676,0.0,0.0
2025-01-16 12:30:00-05:00,11.190199851989746,11.680000305175781,11.0,11.569999694824219,23755188,0.0,0.0
2025-01-16 13:30:00-05:00,11.5649995803833,11.739999771118164,10.9399995803833,11.180000305175781,21688165,0.0,0.0
2025-01-16 14:30:00-05:00,11.1899995803833,11.619999885559082,11.1850004196167,11.522500038146973,18787560,0.0,0.0
2025-01-16 15:30:00-05:00,11.524999618530273,11.680000305175781,11.1899995803833,11.220000267028809,15908864,0.0,0.0
2025-01-17 09:30:00-05:00,10.529999732971191,11.15999984741211,10.359999656677246,10.481599807739258,57094627,0.0,0.0
2025-01-17 10:30:00-05:00,10.489700317382812,10.930000305175781,10.34000015258789,10.407899856567383,22902569,0.0,0.0
2025-01-17 11:30:00-05:00,10.401399612426758,10.569999694824219,10.25,10.387999534606934,17222332,0.0,0.0
2025-01-17 12:30:00-05:00,10.38479995727539,10.670000076293945,10.329999923706055,10.449999809265137,12048210,0.0,0.0
2025-01-17 13:30:00-05:00,10.453499794006348,10.51990032196045,10.109999656677246,10.140000343322754,13766741,0.0,0.0
2025-01-17 14:30:00-05:00,10.145000457763672,10.15999984741211,9.850000381469727,9.864999771118164,17545644,0.0,0.0
2025-01-17 15:30:00-05:00,9.864999771118164,9.979999542236328,9.770000457763672,9.810999870300293,10955612,0.0,0.0
2025-01-21 09:30:00-05:00,10.399999618530273,12.600000381469727,10.390000343322754,11.925000190734863,89252241,0.0,0.0
2025-01-21 10:30:00-05:00,11.919899940490723,12.880000114440918,11.859999656677246,12.740099906921387,38079624,0.0,0.0
2025-01-21 11:30:00-05:00,12.744999885559082,13.449999809265137,12.579999923706055,13.418800354003906,27604591,0.0,0.0
2025-01-21 12:30:00-05:00,13.419899940490723,13.5,12.90999984741211,13.32800006866455,22404664,0.0,0.0
2025-01-21 13:30:00-05:00,13.320899963378906,13.550000190734863,13.039999961853027,13.270000457763672,14855821,0.0,0.0
2025-01-21 14:30:00-05:00,13.274999618530273,13.550000190734863,13.020000457763672,13.478799819946289,12700205,0.0,0.0
2025-01-21 15:30:00-05:00,13.470000267028809,14.069999694824219,13.395000457763672,13.960000038146973,17051806,0.0,0.0
2025-01-22 09:30:00-05:00,14.085000038146973,14.399999618530273,13.130000114440918,13.6850004196167,76904093,0.0,0.0
2025-01-22 10:30:00-05:00,13.680000305175781,13.880000114440918,12.760000228881836,12.895000457763672,28472391,0.0,0.0
2025-01-22 11:30:00-05:00,12.898500442504883,13.350000381469727,12.864999771118164,13.318699836730957,16051350,0.0,0.0
2025-01-22 12:30:00-05:00,13.319700241088867,13.350000381469727,13.079999923706055,13.170100212097168,9200818,0.0,0.0
2025-01-22 13:30:00-05:00,13.180000305175781,13.630000114440918,13.140000343322754,13.354999542236328,10823451,0.0,0.0
2025-01-22 14:30:00-05:00,13.359999656677246,13.869999885559082,13.350000381469727,13.8100004196167,13680923,0.0,0.0
2025-01-22 15:30:00-05:00,13.800000190734863,13.989999771118164,13.59000015258789,13.890000343322754,10950079,0.0,0.0
2025-01-23 09:30:00-05:00,13.130000114440918,14.630000114440918,12.989999771118164,13.78499984741211,60502017,0.0,0.0
2025-01-23 10:30:00-05:00,13.780099868774414,14.43970012664795,13.600000381469727,13.769100189208984,26084284,0.0,0.0
2025-01-23 11:30:00-05:00,13.769000053405762,13.819999694824219,13.3100004196167,13.498800277709961,14101139,0.0,0.0
2025-01-23 12:30:00-05:00,13.5,13.65999984741211,13.21500015258789,13.519700050354004,9906981,0.0,0.0
2025-01-23 13:30:00-05:00,13.515000343322754,13.550000190734863,13.119999885559082,13.120200157165527,6833097,0.0,0.0
2025-01-23 14:30:00-05:00,13.121199607849121,13.569999694824219,13.119999885559082,13.444999694824219,7215362,0.0,0.0
2025-01-23 15:30:00-05:00,13.449999809265137,13.539999961853027,13.3100004196167,13.46500015258789,6827472,0.0,0.0
2025-01-24 09:30:00-05:00,13.949999809265137,15.550000190734863,13.869999885559082,15.410099983215332,74176429,0.0,0.0
